Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors
TMF Holdings Limited,Holding company,49,40,67,54,Adequate,Mar-22,Environment/Social
Torrent Pharmaceuticals Limited,Pharmaceuticals,55,71,67,64,Strong,Mar-22,All sectors adequate
Torrent Power Limited,Power T&D,43,61,66,57,Adequate,Mar-23,Environment
Transport Corporation of India Limited,Logistics,38,41,66,50,Below Average,Mar-23,Environment/Social
Trent Limited,Multi-brand retail,46,63,68,59,Adequate,Mar-22,Environment
Trident Limited,Textiles,25,51,68,CRISIL ESG 49,Below Average,Mar-23,Environment
Triveni Engineering and Industries Limited,Sugar,29,40,64,46,Adequate,Mar-22,Environment/Social
Triveni Turbine Limited,Industrials,29,37,63,45,Below Average,Mar-22,Environment/Social
TruCap Finance Limited,NBFC,49,41,71,56,Adequate,Mar-23,Environment/Social
Ttk Healthcare Limited,FMCG,46,49,68,55,Adequate,Mar-23,Environment/Social
TTK Prestige Limited,Consumer Retail,32,46,66,49,Adequate,Mar-22,Environment/Social
Tube Investments Of India Limited,Auto Ancillary,29,35,69,46,Adequate,Mar-22,Environment/Social
TV Today Network Limited,Media,38,46,65,51,Adequate,Mar-22,Environment/Social
Tv18 Broadcast Limited,Media,36,44,73,53,Adequate,Mar-22,Environment/Social
TVS Motor Company Limited,Auto OEM,47,54,70,58,Adequate,Mar-23,Environment
TVS Srichakra Limited,Tyre,32,65,63,53,Adequate,Mar-23,Environment
UCO Bank,Banks,52,62,63,59,Adequate,Mar-23,All sectors adequate
Udaipur Cement Works Limited,Cement,33,57,65,52,Adequate,Mar-23,Environment
Uflex Limited,Chemicals - Bulk & Polymers,20,34,70,43,Below Average,Mar-22,Environment/Social
Ujjivan Small Finance Bank Limited,Banks,60,56,76,65,Strong,Mar-23,All sectors adequate
UltraTech Cement Limited,Cement,46,54,69,57,Adequate,Mar-23,Environment
Unichem Laboratories Limited,Pharmaceuticals,27,48,66,48,Adequate,Mar-22,Environment/Social
Union Bank of India,Banks,51,64,65,60,Adequate,Mar-23,All sectors adequate
Uniparts India Limited,Industrials,27,31,61,42,Below Average,Mar-22,Environment/Social
United Breweries Limited,FMCG,48,40,69,55,Adequate,Mar-23,Environment/Social
United Spirits Limited,FMCG,62,43,75,62,Strong,Mar-23,Social
Uno Minda Limited,Auto Ancillary,34,33,64,46,Adequate,Mar-22,Environment/Social
UPL Limited,Chemicals - Speciality Chemicals,49,58,72,60,Adequate,Mar-23,Environment
Usha Martin Limited,Metals - Linked Products,26,58,67,50,Below Average,Mar-23,Environment
UTI Asset Management Company Limited,Financial Services (Capital Market),59,61,74,65,Strong,Mar-23,All sectors adequate
V Mart Retail Limited,Retailing (Diversified Retail),50,58,76,CRISIL ESG 62,Strong,Mar-23,All sectors adequate
V.S.T. Tillers Tractors Limited,Auto OEM,39,52,68,54,Adequate,Mar-23,Environment
VA Tech Wabag Limited,Water and Waste Management,30,38,61,44,Below Average,Mar-22,Environment/Social
Vaibhav Global Limited,Consumer Retail,39,48,67,52,Adequate,Mar-22,Environment/Social
Vakrangee Limited,IT,51,57,68,59,Adequate,Mar-23,All sectors adequate
Valiant Organics Limited,Chemicals - Speciality Chemicals,28,43,65,47,Below Average,Mar-23,Environment/Social
Valor Estate Limited,Real Estate,28,33,62,43,Below Average,Mar-22,Environment/Social
Vardhman Special Steels Limited,Metals - Ferrous,36,62,66,55,Adequate,Mar-23,Environment
Vardhman Textiles Limited,Textiles,34,55,62,CRISIL ESG 51,Adequate,Mar-23,Environment
Varroc Engineering Limited,Auto Ancillary,26,34,58,41,Below Average,Mar-22,Environment/Social
Varun Beverages Limited,FMCG,37,48,69,53,Adequate,Dec-22,Environment/Social
Vedant Fashions Limited,Consumer Retail,27,42,67,47,Adequate,Mar-22,Environment/Social
Vedanta Limited,Metals - Non-Ferrous,41,47,61,51,Adequate,Mar-23,Environment/Social
Venkys India Limited,FMCG,38,49,58,49,Below Average,Mar-23,Environment/Social
Vesuvius India Limited,Industrials,30,36,65,46,Adequate,Dec-21,Environment/Social
V-Guard Industries Limited,Durables & Electricals,28,39,74,49,Adequate,Mar-22,Environment/Social
Vijaya Diagnostic Centre Limited,Healthcare,38,58,64,53,Adequate,Mar-23,Environment
Vimta Labs Limited,Pharmaceuticals,24,41,65,45,Below Average,Mar-22,Environment/Social
Vinati Organics Limited,Chemicals - Speciality Chemicals,46,50,70,56,Adequate,Mar-23,Environment
Vindhya Telelinks Limited,Industrials,37,61,68,56,Adequate,Mar-23,Environment
VIP Industries Limited,Consumer Retail,29,45,67,48,Adequate,Mar-22,Environment/Social
Vodafone Idea Limited,Telecom,44,63,51,52,Adequate,Mar-23,Environment
Voltamp Transformers Limited,Industrials,40,51,61,CRISIL ESG 51,Adequate,Mar-23,Environment
Voltas Limited,Durables & Electricals,53,54,71,61,Strong,Mar-22,All sectors adequate
VRL Logistics Limited,Logistics,37,43,67,51,Adequate,Mar-23,Environment/Social
VST Industries Limited,FMCG,52,31,68,53,Adequate,Mar-23,Social
Walwhan Renewable Energy Limited,"Power Renewable (Solar, Wind)",38,28,51,41,Below Average,Mar-23,Environment/Social
Welspun Corp Limited,Metals - Linked Products,39,58,70,56,Adequate,Mar-23,Environment
Welspun Enterprises Limited,Construction EPC,34,57,72,55,Adequate,Mar-23,Environment
Welspun Living Limited,Textiles,42,59,72,CRISIL ESG 58,Adequate,Mar-23,Environment
Wendt India Limited,Industrials,29,39,74,49,Adequate,Mar-22,Environment/Social
West Coast Paper Mills Limited,Paper,42,52,61,52,Adequate,Mar-23,Environment
Westlife Foodworld Limited,Restaurants,36,59,72,56,Adequate,Mar-23,Environment
Wheels India Limited,Auto Ancillary,28,33,69,46,Adequate,Mar-22,Environment/Social
Whirlpool of India Limited,Durables & Electricals,32,42,69,49,Adequate,Mar-22,Environment/Social
Wipro Limited,IT,77,69,75,74,Leadership,Mar-23,All sectors adequate
Wockhardt Limited,Pharmaceuticals,26,52,61,46,Adequate,Mar-22,Environment
Wonderla Holidays Limited,Hotels,38,55,72,56,Adequate,Mar-23,Environment
Wpil Limited,Industrials,27,35,70,46,Adequate,Mar-22,Environment/Social
YES Bank Limited,Banks,63,58,68,64,Strong,Mar-23,All sectors adequate
Zee Entertainment Enterprises Limited,Media,37,42,55,46,Adequate,Mar-22,Environment/Social
Zensar Technologies Limited,IT,71,68,69,69,Strong,Mar-23,All sectors adequate
ZF Commercial Vehicle Control Systems India Limited,Auto Ancillary,45,43,66,53,Adequate,Mar-22,Environment/Social
Zomato Limited,E-Retail/ E-Commerce,55,43,75,60,Adequate,Mar-23,Social
Zydus Lifesciences Limited,Pharmaceuticals,51,56,71,60,Adequate,Mar-22,All sectors adequate
Zydus Wellness Limited,FMCG,52,48,68,58,Adequate,Mar-23,Social
